vehicle_make,vehicle_model,vehicle_year,vehicle_vin,vehicle_color,vehicle_license_plate
Pontiac,Firebird,1967,1G4CU541614152629,Teal,DEF789
Chrysler,Sebring,2006,KNDPB3A28D7610347,Crimson,DEF789
Ford,Ranger,2008,WBANA53524B071098,Crimson,DEF789
Buick,Enclave,2009,WBAVC93537K749895,Red,DEF789
GMC,Suburban 2500,1997,3D4PH9FG8BT721725,Mauv,DEF789
Bugatti,Veyron,2011,TRUWT28N241491562,Teal,DEF789
Mitsubishi,Eclipse,1998,WAUXL58E25A558868,Indigo,ABC123
Eagle,Vision,1995,1HGCP2E4XAA279146,Aquamarine,DEF789
Ford,Contour,1999,SCFAD06D69G800908,Puce,DEF789
Isuzu,Trooper,1997,1FTEW1C87FF838508,Purple,XYZ456
Chevrolet,Camaro,2011,WA1VGAFP6EA055432,Violet,ABC123
Mercedes-Benz,G-Class,2010,2C3CDYCJ6DH727329,Pink,ABC123
Volkswagen,rio,2002,1D7RV1CT0BS135805,Fuscia,DEF789
Pontiac,Firebird,1988,WAUDGBFLXCA508790,Fuscia,ABC123
Maserati,Quattroporte,2010,JN1CV6AP3AM998039,Goldenrod,DEF789
Chevrolet,Suburban 1500,2001,3GTXCYEJ3AG114206,Crimson,ABC123
Chrysler,Town & Country,1993,1G6DA1ED2B0177977,Green,XYZ456
Mitsubishi,Eclipse,2000,WBANW53548C036709,Puce,XYZ456
Mercedes-Benz,S-Class,2006,1FTEW1E84AF429369,Aquamarine,ABC123
Audi,Q7,2010,1N6AA0CC9CN463119,Maroon,DEF789
GMC,Savana 3500,2012,YV1852AR3A1611689,Violet,XYZ456
Plymouth,Laser,1989,1D4PT5GK9BW096899,Green,DEF789
Cadillac,DeVille,2005,5J8TB4H3XGL260977,Goldenrod,XYZ456
Oldsmobile,88,1995,JTDKN3DU3B0459079,Khaki,ABC123
Dodge,Ram Van 2500,1996,1GYS4BKJ7FR291366,Pink,DEF789
GMC,Savana,2006,JN8BS1MW0EM269515,Turquoise,DEF789
Dodge,Caliber,2007,1FTWF3D51AE189548,Green,XYZ456
Chrysler,New Yorker,1995,SALFP2BG7FH233839,Puce,DEF789
Buick,Regal,2011,1J4RR4GG8BC967068,Mauv,ABC123
Mercedes-Benz,SLK-Class,2002,JA32X8HW3DU575024,Turquoise,ABC123
Lincoln,Blackwood,2002,WBAWB33507P378427,Goldenrod,ABC123
Mazda,MPV,2003,JTJBC1BA4B2245464,Purple,XYZ456
Mitsubishi,Pajero,1992,1FTFW1E84AK420425,Maroon,DEF789
Hyundai,Elantra,2007,KNADM5A35E6184039,Red,XYZ456
Chrysler,Town & Country,1992,5UXFG83559L865794,Red,DEF789
Buick,Century,1990,SCFEBBCF6CG657488,Yellow,XYZ456
Lotus,Exige,2009,WAUDG74F25N277406,Teal,DEF789
Honda,Accord,1994,JTEBU5JR1F5885825,Purple,XYZ456
Ford,ZX2,2002,JM3ER2A57C0414504,Blue,ABC123
Buick,Riviera,1988,5GAKVCKD7DJ633267,Crimson,DEF789
Isuzu,Hombre,1996,1G6DS57V180398313,Yellow,DEF789
Buick,Enclave,2012,137ZA90311E502400,Puce,ABC123
Acura,Integra,1993,3GYFNDEY7AS953312,Violet,ABC123
Toyota,Tacoma,2005,1FTFW1E84AF632556,Red,XYZ456
Scion,iQ,2012,JTDKN3DU8B0205867,Aquamarine,DEF789
Kia,Sportage,2007,SCFFBCCD5BG177482,Mauv,XYZ456
Mazda,Mazdaspeed6,2007,1FADP5CU4FL556365,Green,DEF789
Kia,Amanti,2009,1FTNF2A50AE709846,Aquamarine,XYZ456
GMC,Sonoma,1994,WBAPK7C5XAA044041,Indigo,ABC123
Volvo,V40,2003,1GYS4GEF6BR758467,Green,DEF789
Dodge,Ram 1500 Club,2001,1J4RG4GK6AC930318,Violet,XYZ456
Mazda,Protege5,2002,NM0GE9E76F1106916,Mauv,ABC123
Dodge,Ram Van B350,1994,1G6DA1ED6B0311874,Blue,XYZ456
BMW,3 Series,1994,WBA3A5C51EP234724,Maroon,DEF789
Subaru,Legacy,2008,WAUET48H55K255945,Maroon,ABC123
Volkswagen,GTI,2000,1FT7W2A63EE731315,Yellow,XYZ456
Dodge,Charger,1969,JN1CV6FE5FM806263,Fuscia,DEF789
Chevrolet,SSR,2005,4T1BF1FKXDU182354,Maroon,ABC123
Ford,Fiesta,2011,WBA3A5C52DF240844,Maroon,DEF789
Dodge,Stratus,2001,4A4AP3AU1EE237960,Violet,ABC123
Toyota,4Runner,1994,WBA3T7C56F5176175,Violet,XYZ456
Toyota,Prius Plug-in,2012,SCBFU7ZA8DC719412,Purple,XYZ456
Ford,Econoline E350,2001,KM8JT3AF6EU880276,Puce,ABC123
Mazda,626,1995,1C4RDHAG1CC622597,Goldenrod,DEF789
Mercedes-Benz,S-Class,2011,2G4G05GVXB9927475,Purple,DEF789
Eagle,Summit,1996,JTDKDTB30F1120454,Turquoise,XYZ456
Chrysler,Sebring,2005,SCBLF34F94C115439,Mauv,XYZ456
Pontiac,GTO,2006,5FNRL5H27BB123851,Green,ABC123
Nissan,370Z,2009,1G6DL8E36D0789452,Yellow,DEF789
Audi,A8,2006,4T1BF1FK4FU082527,Orange,ABC123
Dodge,Challenger,2010,1G6DJ5EV3A0995538,Purple,XYZ456
Ford,F150,2007,WBABD53465P468593,Fuscia,DEF789
Kia,Spectra,2009,SCBCP73W38C027627,Green,XYZ456
Kia,Sportage,2000,WAUHGBFC5EN813787,Turquoise,DEF789
Ford,Fiesta,2013,WBAXA5C55ED009726,Aquamarine,XYZ456
Lincoln,LS,2006,1G6DP1E38D0568060,Fuscia,DEF789
Ford,Ranger,2006,4A31K3DT1AE553245,Goldenrod,XYZ456
Mazda,626,2001,1GYS3TKJ8FR138956,Turquoise,ABC123
Volvo,960,1995,1GTN1TEH6FZ228866,Khaki,XYZ456
Audi,S4,2005,WAUDF78EX8A826091,Blue,ABC123
Nissan,Altima,1998,JM1NC2LF4E0569059,Aquamarine,ABC123
Volkswagen,Jetta,1988,WAUFGAFBXAN006975,Green,XYZ456
Pontiac,Firebird,1999,1G6DX67D370285301,Goldenrod,XYZ456
Ford,Bronco,1993,JN8AF5MR2BT511515,Pink,ABC123
Dodge,D150 Club,1993,5J8TB4H30GL772103,Orange,ABC123
Cadillac,DeVille,1997,JH4CL96934C933456,Teal,DEF789
Nissan,JUKE,2011,1FTEW1CM1EK398594,Turquoise,ABC123
Acura,RSX,2004,1GKS1HE02CR061688,Yellow,XYZ456
Chevrolet,Silverado,2009,3N1CN7AP0EL899636,Indigo,XYZ456
Chevrolet,Caprice,1994,WBAXH5C55CD694724,Teal,DEF789
Aston Martin,V8 Vantage,2009,1C3CDZCB2DN354201,Red,ABC123
Pontiac,Tempest,1967,WA1DGAFE0FD165905,Goldenrod,ABC123
Land Rover,Discovery,1996,1J4NF1GB7BD481338,Aquamarine,ABC123
Acura,TL,1998,JN1BJ0HP6FM818893,Red,XYZ456
Chevrolet,Silverado 3500,2006,WAUDH78E68A736494,Fuscia,DEF789
Volkswagen,Passat,1985,WAUNF78PX8A902947,Khaki,DEF789
Mercedes-Benz,G-Class,2002,1G6YX36D895465316,Teal,XYZ456
Chevrolet,Malibu Maxx,2006,1G6DP577150413701,Khaki,ABC123
Lamborghini,Murciélago,2008,1GYS4PKJ6FR889722,Crimson,ABC123
Dodge,D150,1992,JN8AF5MR2ET926306,Puce,DEF789
